tarikh,nama_kluster,kategori_kluster,negeri,daerah,jumlah_kes,jumlah_disaring
2021-05-24,Jalan Bestari Satu,Tempat Kerja,Selangor,Klang dan Petaling,53,343
2021-05-24,Jalan Todak,Tempat Kerja,Pulau Pinang,Seberang Perai Tengah,13,338
2021-05-24,Industri Pengkalan Balak,Tempat Kerja,Melaka,Alor Gajah,146,641
2021-05-24,Jalan Perindustrian Bukit Minyak,Tempat Kerja,Pulau Pinang,Seberang Perai Tengah,22,109
2021-05-24,Jalan Tengkorak,Tempat Kerja,Selangor,Kuala Selangor,8,611
2021-05-24,Wakaf Tembesu,Tempat Kerja,Terengganu,"Kuala Nerus, Kuala Terengganu dan Setiu",21,104
2021-05-24,Jalan Dato Sellathevan Empat,Tempat Kerja,Selangor,Klang,86,247
2021-05-24,Jalan Akik,Komuniti,Johor,Kota Tinggi,18,110
2021-05-24,Jalan Usaha Tujuh,Tempat Kerja,Melaka,"Melaka Tengah, Alor Gajah, dan Jasin",38,156
2021-05-24,Kampung Padawan,Komuniti,Sabah,Papar dan Kota Kinabalu,10,154
2021-05-24,Kampung Pangkal Payung,Komuniti,Kelantan,"Machang,  Kota Bharu, dan Tanah Merah",9,17
2021-05-24,Jalan Jed,Kumpulan Berisiko Tinggi,Selangor,Klang dan Kuala Langat,14,85
2021-05-24,Kilometer Enam Jalan Lipis,Institusi Pendidikan KPM,Pahang dan WP Kuala Lumpur,"Raub, Temerloh, Lipis, dan Cheras",19,207
2021-05-24,Dermaga Sembilan,Import,Johor,Johor Bahru,19,199
2021-05-24,Jalan Ehsan Jaya,Keagamaan,Johor,Johor Bahru,14,81
2021-05-24,Patau – Patau,Komuniti,WP Labuan,Labuan,12,42
